condition,symptoms,causes,warnings,recommendations
Influenza,"fever, fatigue, dry cough, muscle aches, chills",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"sore throat, mild cough, runny nose, mild fatigue, nasal congestion, runny nose",inflammation of airways,severe chest pain requires emergency care,rest and stay hydrated
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., mild headache",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., nausea","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Common Cold,"nasal congestion, runny nose, mild fatigue, mild cough, sore throat, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Asthma,"chest tightness, coughing at night, shortness of breath, breathing difficulty, wheezing, chills",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Pneumonia,"fatigue, fever, productive cough, difficulty breathing, muscle weakness",inflammation of airways,seek medical help if breathing becomes difficult,monitor symptoms carefully
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., sweating",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Asthma,"chest tightness, coughing at night, shortness of breath, wheezing, breathing difficulty, irritability","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., nausea","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"chills, muscle aches, dry cough, fever, headache, dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Influenza,"fever, muscle aches, chills, dry cough, sore throat, nausea",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., blurred vision",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., blurred vision",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Common Cold,"mild cough, nasal congestion, runny nose, sneezing, mild fatigue, dry throat",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., irritability","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., irritability","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., fatigue","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"severe headache, nausea, pulsating pain, sensitivity to light, chills","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., irritability",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Asthma,"shortness of breath, coughing at night, chest tightness, breathing difficulty, dry throat",bacterial infection,symptoms worsening rapidly should be evaluated by a doctor,monitor symptoms carefully
Influenza,"muscle aches, dry cough, headache, fever, body aches",viral infection,severe chest pain requires emergency care,seek medical advice if symptoms persist
Diabetes,"slow healing wounds, blurred vision, increased thirst, body aches",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., body aches","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"persistent cough, shortness of breath, mucus production, fatigue, chest discomfort, chills","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Bronchitis,"mucus production, persistent cough, chest discomfort, shortness of breath, difficulty sleeping",bacterial infection,seek medical help if breathing becomes difficult,monitor symptoms carefully
Migraine,"severe headache, vomiting, sensitivity to light, nausea, fatigue","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, breathing difficulty, fever, dry cough, fatigue, runny nose",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., loss of appetite",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., mild headache","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Bronchitis,"chest discomfort, persistent cough, mucus production, fatigue, dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., runny nose","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"coughing at night, wheezing, shortness of breath, breathing difficulty, chest tightness, sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Bronchitis,"shortness of breath, chest discomfort, fatigue, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"pulsating pain, sensitivity to light, vomiting, nausea, severe headache, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Asthma,"chest tightness, breathing difficulty, coughing at night, chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Asthma,"chest tightness, coughing at night, wheezing, muscle weakness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"coughing at night, chest tightness, breathing difficulty, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Influenza,"chills, dry cough, headache, loss of appetite","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"fatigue, chest discomfort, persistent cough, shortness of breath, mucus production, dizziness",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., loss of appetite","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., dry throat",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Dengue,"Severe body aches with fever, nausea, headache, and mild bleeding symptoms., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Influenza,"fever, fatigue, dry cough, muscle aches, body aches",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"dry cough, muscle aches, fatigue, chills, fever, difficulty sleeping",genetic and environmental factors,severe chest pain requires emergency care,consult a healthcare professional
Gastroenteritis,"Patient has diarrhea, abdominal cramps, nausea, vomiting, and mild fever., fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"fever, loss of smell, loss of taste, fatigue, chills","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Pneumonia,"chest pain, fatigue, fever, difficulty breathing, dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Migraine,"vomiting, severe headache, pulsating pain, nausea, sensitivity to light, body aches","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
